model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc,tr_1per,te_1per
LR,30,100,100,sgd,0.001,0.001,0.001,0.7454600000000001,0.7017200000000001,0.7820000000000001,0.75046,0.7066000000000001,0.7817000000000001,0.4304,0.436
LR-R,30,100,100,sgd,0.001,0.001,0.001,0.74678,0.70256,0.7827999999999999,0.7516999999999999,0.70712,0.78352,0.4304,0.436
FM,30,100,100,sgd,0.001,0.001,0.001,0.8344400000000001,0.82104,0.9074199999999999,0.8285199999999999,0.8129,0.9000600000000001,0.4304,0.436
FM-R,30,100,100,sgd,0.001,0.001,0.001,0.8353399999999999,0.82058,0.9084,0.8297000000000001,0.8127599999999999,0.9015400000000001,0.4304,0.436
LR,30,100,100,adagrad,0.001,0.001,0.001,0.71878,0.64886,0.72714,0.72414,0.6531,0.72644,0.4304,0.436
LR-R,30,100,100,adagrad,0.001,0.001,0.001,0.72454,0.66402,0.74282,0.72652,0.66526,0.74456,0.4304,0.436
FM,30,100,100,adagrad,0.001,0.001,0.001,0.8107599999999999,0.79308,0.8813199999999999,0.7999400000000001,0.77964,0.86798,0.4304,0.436
FM-R,30,100,100,adagrad,0.001,0.001,0.001,0.81304,0.79636,0.8855000000000001,0.8018599999999999,0.78264,0.8752599999999999,0.4304,0.436
LR,30,100,100,RMSprop,0.001,0.001,0.001,0.75228,0.7149,0.79452,0.7507,0.71216,0.7881,0.4304,0.436
LR-R,30,100,100,RMSprop,0.001,0.001,0.001,0.75046,0.70938,0.79134,0.7533200000000001,0.71154,0.78948,0.4304,0.436
FM,30,100,100,RMSprop,0.001,0.001,0.001,0.9894000000000001,0.98896,0.99914,0.91188,0.9076000000000001,0.97348,0.4304,0.436
FM-R,30,100,100,RMSprop,0.001,0.001,0.001,0.8965799999999999,0.89132,0.9623999999999999,0.8814400000000001,0.874,0.9526,0.4304,0.436
LR,30,100,100,adam,0.001,0.001,0.001,0.7521199999999999,0.7162200000000001,0.79466,0.75048,0.7131399999999999,0.7883799999999999,0.4304,0.436
LR-R,30,100,100,adam,0.001,0.001,0.001,0.75098,0.7115600000000001,0.79138,0.7527200000000001,0.7125600000000001,0.78962,0.4304,0.436
FM,30,100,100,adam,0.001,0.001,0.001,0.99332,0.99304,0.9997199999999999,0.91228,0.9080600000000001,0.97346,0.4304,0.436
FM-R,30,100,100,adam,0.001,0.001,0.001,0.90094,0.8961600000000001,0.96548,0.8865399999999999,0.8799999999999999,0.9555,0.4304,0.436
LR,50,100,100,sgd,0.001,0.001,0.001,0.7463599999999999,0.70346,0.7822600000000001,0.7489199999999999,0.70534,0.78176,0.4304,0.436
LR-R,50,100,100,sgd,0.001,0.001,0.001,0.74712,0.70538,0.783,0.7505599999999999,0.70816,0.7844,0.4304,0.436
FM,50,100,100,sgd,0.001,0.001,0.001,0.84582,0.8327199999999999,0.9206999999999999,0.83888,0.8236600000000001,0.91096,0.4304,0.436
FM-R,50,100,100,sgd,0.001,0.001,0.001,0.84672,0.83382,0.92118,0.84008,0.82538,0.91266,0.4304,0.436
LR,50,100,100,adagrad,0.001,0.001,0.001,0.72676,0.66524,0.74466,0.73368,0.6722400000000001,0.75044,0.4304,0.436
LR-R,50,100,100,adagrad,0.001,0.001,0.001,0.7184999999999999,0.64726,0.7241000000000001,0.72386,0.65414,0.7278,0.4304,0.436
FM,50,100,100,adagrad,0.001,0.001,0.001,0.8411799999999999,0.83002,0.91548,0.8231999999999999,0.8093199999999999,0.89818,0.4304,0.436
FM-R,50,100,100,adagrad,0.001,0.001,0.001,0.8398199999999999,0.8275,0.9152799999999999,0.83018,0.8157,0.9030400000000001,0.4304,0.436
LR,50,100,100,RMSprop,0.001,0.001,0.001,0.75194,0.7135599999999999,0.79454,0.7519599999999999,0.7129,0.78826,0.4304,0.436
LR-R,50,100,100,RMSprop,0.001,0.001,0.001,0.7506799999999999,0.71174,0.7913199999999999,0.7535200000000001,0.7139000000000001,0.7895199999999999,0.4304,0.436
FM,50,100,100,RMSprop,0.001,0.001,0.001,0.9975999999999999,0.9975000000000002,0.9999,0.91144,0.9074,0.9731400000000001,0.4304,0.436
FM-R,50,100,100,RMSprop,0.001,0.001,0.001,0.89778,0.8927799999999999,0.9627399999999999,0.8827400000000001,0.87586,0.95326,0.4304,0.436
LR,50,100,100,adam,0.001,0.001,0.001,0.7523000000000001,0.71574,0.79466,0.7505999999999999,0.71294,0.78818,0.4304,0.436
LR-R,50,100,100,adam,0.001,0.001,0.001,0.75066,0.71194,0.79138,0.7531199999999999,0.71384,0.78952,0.4304,0.436
FM,50,100,100,adam,0.001,0.001,0.001,0.99924,0.99918,1.0,0.9119399999999999,0.9080199999999999,0.97346,0.4304,0.436
FM-R,50,100,100,adam,0.001,0.001,0.001,0.899175,0.89355,0.963325,0.8856,0.8773500000000001,0.9537249999999999,0.4304,0.436
LR,100,100,100,sgd,0.001,0.001,0.001,0.748225,0.7018249999999999,0.7771250000000001,0.7542,0.707225,0.77685,0.4304,0.436
LR-R,100,100,100,sgd,0.001,0.001,0.001,0.7481249999999999,0.698225,0.7780499999999999,0.7534000000000001,0.702825,0.77755,0.4304,0.436
FM,100,100,100,sgd,0.001,0.001,0.001,0.86575,0.855275,0.9359249999999999,0.850225,0.836875,0.9233,0.4304,0.436
FM-R,100,100,100,sgd,0.001,0.001,0.001,0.8649,0.85445,0.9353750000000001,0.85095,0.8373,0.924325,0.4304,0.436
LR,100,100,100,adagrad,0.001,0.001,0.001,0.72365,0.6513,0.7286999999999999,0.72375,0.65115,0.7268999999999999,0.4304,0.436
LR-R,100,100,100,adagrad,0.001,0.001,0.001,0.725375,0.6507499999999999,0.727975,0.73355,0.66205,0.73245,0.4304,0.436
FM,100,100,100,adagrad,0.001,0.001,0.001,0.8795499999999999,0.870725,0.9486,0.85455,0.8419,0.927,0.4304,0.436
FM-R,100,100,100,adagrad,0.001,0.001,0.001,0.8688,0.8597,0.9389750000000001,0.852875,0.84075,0.925075,0.4304,0.436
LR,100,100,100,RMSprop,0.001,0.001,0.001,0.7525250000000001,0.71085,0.7893,0.7525499999999999,0.7094750000000001,0.782525,0.4304,0.436
LR-R,100,100,100,RMSprop,0.001,0.001,0.001,0.7507250000000001,0.707225,0.7859250000000001,0.755,0.7105,0.783925,0.4304,0.436
FM,100,100,100,RMSprop,0.001,0.001,0.001,0.9995750000000001,0.99955,1.0,0.9118499999999999,0.906425,0.971775,0.4304,0.436
FM-R,100,100,100,RMSprop,0.001,0.001,0.001,0.8971750000000001,0.891125,0.961925,0.8846999999999999,0.876125,0.952725,0.4304,0.436
LR,100,100,100,adam,0.001,0.001,0.001,0.7527,0.711825,0.789425,0.752425,0.710175,0.782275,0.4304,0.436
LR-R,100,100,100,adam,0.001,0.001,0.001,0.7506999999999999,0.705875,0.786,0.75585,0.7100500000000001,0.7838999999999999,0.4304,0.436
FM,100,100,100,adam,0.001,0.001,0.001,0.999525,0.9995,1.0,0.9101,0.9042749999999999,0.971275,0.4304,0.436
FM-R,100,100,100,adam,0.001,0.001,0.001,0.90075,0.89435,0.9644,0.888225,0.87915,0.954975,0.4304,0.436
